NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,Class_Num,CLASS_CATEGORY,SALE DATE-day,SALE DATE-month,SALE DATE-year
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1370,21,Residential," 30 SUTTON PLACE, 12F                      ",10022,0,0,0,0,0,1929,2,Residential,150000,2009-10-14,10,COOPS ,14,10,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1370,38,Residential," 418 EAST 59TH STREET, 16A                 ",10022,0,0,0,0,0,1988,2,Residential,1050000,2009-04-08,10,COOPS ,8,4,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1370,38,Residential," 418 EAST 59TH   STREET, 19A               ",10022,0,0,0,0,0,1988,2,Residential,1225000,2009-10-29,10,COOPS ,29,10,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1370,38,Residential," 418 EAST 59TH STREET, 5A                  ",10022,0,0,0,0,0,1988,2,Residential,1075000,2009-12-29,10,COOPS ,29,12,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1370,46,Residential," 400 EAST 59TH STREET, MR7                 ",10022,0,0,0,0,0,1929,2,Residential,44616,2009-02-27,10,COOPS ,27,2,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1370,46,Residential," 400 EAST 59TH STREET, 3G                  ",10022,0,0,0,0,0,1929,2,Residential,435000,2009-08-10,10,COOPS ,10,8,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1370,46,Residential," 400 EAST 59TH STREET, 5CD                 ",10022,0,0,0,0,0,1929,2,Residential,1830000,2009-09-10,10,COOPS ,10,9,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1371,14,Residential," 45 SUTTON PLACE SOUTH, 12E                ",10022,0,0,0,0,0,1958,2,Residential,1450000,2009-04-02,10,COOPS ,2,4,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1371,14,Residential," 45 SUTTON PLACE SOUTH, 9F                 ",10022,0,0,0,0,0,1958,2,Residential,2250000,2009-04-24,10,COOPS ,24,4,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1371,14,Residential," 45 SUTTON PLACE SOUTH, 19A                ",10022,0,0,0,0,0,1958,2,Residential,1500000,2009-07-02,10,COOPS ,2,7,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1371,14,Residential," 45 SUTTON PLACE SOUTH, 19N                ",10022,0,0,0,0,0,1958,2,Residential,1575000,2009-07-29,10,COOPS ,29,7,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1371,14,Residential," 45 SUTTON PLACE SOUTH, 4C                 ",10022,0,0,0,0,0,1958,2,Residential,900000,2009-11-20,10,COOPS ,20,11,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1371,14,Residential," 45 SUTTON PLACE SOUTH, 5B                 ",10022,0,0,0,0,0,1958,2,Residential,1150000,2009-12-30,10,COOPS ,30,12,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1371,38,Residential," 25 SUTTON PLACE SOUTH, 2I                 ",10022,0,0,0,0,0,1959,2,Residential,750000,2009-02-04,10,COOPS ,4,2,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1371,38,Residential," 25 SUTTON PLACE SOUTH, 16M                ",10022,0,0,0,0,0,1959,2,Residential,0,2009-04-17,10,COOPS ,17,4,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1371,38,Residential," 25 SUTTON PLACE SOUTH, 7A                 ",10022,0,0,0,0,0,1959,2,Residential,857500,2009-04-28,10,COOPS ,28,4,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1371,38,Residential," 25 SUTTON PLACE SOUTH, 12-J               ",10022,0,0,0,0,0,1959,2,Residential,0,2009-05-08,10,COOPS ,8,5,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1371,38,Residential," 25 SUTTON PLACE SOUTH, 5F                 ",10022,0,0,0,0,0,1959,2,Residential,1750000,2009-09-15,10,COOPS ,15,9,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1371,38,Residential," 25 SUTTON PLACE SOUTH, 19L                ",10022,0,0,0,0,0,1959,2,Residential,775000,2009-11-11,10,COOPS ,11,11,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1371,38,Residential," 25 SUTTON PLACE SOUTH, 15-I               ",10022,0,0,0,0,0,1959,2,Residential,600000,2009-11-13,10,COOPS ,13,11,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1371,38,Residential," 25 SUTTON PLACE SOUTH, 5H                 ",10022,0,0,0,0,0,1959,2,Residential,0,2009-11-06,10,COOPS ,6,11,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1371,38,Residential," 25 SUTTON PLACE SOUTH, 2R                 ",10022,0,0,0,0,0,1959,2,Residential,625500,2009-11-24,10,COOPS ,24,11,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1371,38,Residential," 25 SUTTON PLACE SOUTH, 3M                 ",10022,0,0,0,0,0,1959,2,Residential,1432352,2009-12-09,10,COOPS ,9,12,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1372,2,Residential," 1 SUTTON PLACE SOUTH, 3B                  ",10022,0,0,0,0,0,1926,2,Residential,3800000,2009-07-30,10,COOPS ,30,7,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1372,2,Residential," 1 SUTTON PLACE SOUTH, 7 8B                ",10022,0,0,0,0,0,1926,2,Residential,9500000,2009-10-22,10,COOPS ,22,10,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1372,62,Residential," 25 SUTTON PLACE, 5J                       ",10022,0,0,0,0,0,1928,2,Residential,1252500,2009-05-06,10,COOPS ,6,5,2009
MIDTOWN EAST,10  COOPS - ELEVATOR APARTMENTS,2,1372,73,Residential," 35 SUTTON PLACE, 18E                      ",10022,0,0,0,0,0,1960,2,Residential,1386000,2009-06-16,10,COOPS ,16,6,2009
MIDTOWN EAST,12  CONDOS - WALKUP APARTMENTS,2,1342,1212,Residential," 344 EAST 50 STREET, 12/3A                 ",10022,1,0,1,0,478,2007,2,Residential,425000,2009-08-26,12,CONDOS ,26,8,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1314,1004,Residential," 235 EAST 40 STREET, 2A                    ",10016,1,0,1,26712,1094,1986,2,Residential,948333,2009-08-12,13,CONDOS ,12,8,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1314,1023,Residential," 235 EAST 40 STREET, 4B                    ",10016,1,0,1,0,770,1986,2,Residential,0,2009-06-18,13,CONDOS ,18,6,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1314,1024,Residential," 235 EAST 40 STREET, 4C                    ",10016,1,0,1,0,782,1986,2,Residential,0,2009-01-30,13,CONDOS ,30,1,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1314,1079,Residential," 235 EAST 40 STREET, 9I                    ",10016,1,0,1,0,405,1986,2,Residential,0,2009-01-14,13,CONDOS ,14,1,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1314,1083,Residential," 235 EAST 40 STREET, 10C                   ",10016,1,0,1,0,782,1986,2,Residential,0,2009-02-20,13,CONDOS ,20,2,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1314,1103,Residential," 235 EAST 40 STREET, 12C                   ",10016,1,0,1,0,782,1986,2,Residential,703611,2009-05-05,13,CONDOS ,5,5,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1314,1111,Residential," 235 EAST 40 STREET, 14A                   ",10016,1,0,1,0,1094,1986,2,Residential,0,2009-10-23,13,CONDOS ,23,10,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1314,1122,Residential," 235 EAST 40 STREET, 15B                   ",10016,1,0,1,0,770,1986,2,Residential,690000,2009-04-20,13,CONDOS ,20,4,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1314,1137,Residential," 235 EAST 40 STREET, 16G                   ",10016,1,0,1,0,828,1986,2,Residential,727000,2009-06-22,13,CONDOS ,22,6,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1314,1142,Residential," 235 EAST 40 STREET, 17B                   ",10016,1,0,1,0,770,1986,2,Residential,780000,2009-12-23,13,CONDOS ,23,12,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1314,1189,Residential," 235 EAST 40 STREET, 21I                   ",10016,1,0,1,0,405,1986,2,Residential,400000,2009-09-24,13,CONDOS ,24,9,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1314,1195,Residential," 235 EAST 40 STREET, 22F                   ",10016,1,0,1,0,621,1986,2,Residential,400000,2009-01-12,13,CONDOS ,12,1,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1314,1243,Residential," 235 EAST 40 STREET, 28A                   ",10016,1,0,1,0,1098,1986,2,Residential,1060000,2009-12-29,13,CONDOS ,29,12,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1314,1270,Residential," 235 EAST 40 STREET, 31B                   ",10016,1,0,1,0,1270,1986,2,Residential,835000,2009-06-30,13,CONDOS ,30,6,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1314,1279,Residential," 235 EAST 40 STREET, 32B                   ",10016,1,0,1,0,791,1986,2,Residential,787500,2009-08-20,13,CONDOS ,20,8,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1319,1024,Residential," 240 EAST 46 STREET, 3H                    ",10017,1,0,1,871,409,2007,2,Residential,105000,2009-03-11,13,CONDOS ,11,3,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1319,1050,Residential," 240 EAST 46 STREET, 6G                    ",10017,1,0,1,871,717,2007,2,Residential,600000,2009-11-30,13,CONDOS ,30,11,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1319,1055,Residential," 240 EAST 46 STREET, 7C                    ",10017,1,0,1,871,414,2007,2,Residential,340000,2009-07-27,13,CONDOS ,27,7,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1029,Residential," 240 EAST 47 STREET, 6A                    ",10017,1,0,1,0,531,1982,2,Residential,0,2009-12-17,13,CONDOS ,17,12,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1035,Residential," 240 EAST 47 STREET, 6G                    ",10017,1,0,1,0,898,1982,2,Residential,1110000,2009-12-17,13,CONDOS ,17,12,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1054,Residential," 240 EAST 47 STREET, 9E                    ",10017,1,0,1,0,659,1982,2,Residential,0,2009-12-15,13,CONDOS ,15,12,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1056,Residential," 240 EAST 47 STREET, 9G                    ",10017,1,0,1,0,898,1982,2,Residential,710000,2009-08-17,13,CONDOS ,17,8,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1075,Residential," 240 EAST 47 STREET, 12E                   ",10017,1,0,1,0,1127,1982,2,Residential,0,2009-08-03,13,CONDOS ,3,8,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1091,Residential," 240 EAST 47 STREET, 15C                   ",10017,1,0,1,0,1432,1982,2,Residential,1200000,2009-02-19,13,CONDOS ,19,2,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1119,Residential," 240 EAST 47 STREET, 20A                   ",10017,1,0,1,0,759,1982,2,Residential,0,2009-10-22,13,CONDOS ,22,10,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1144,Residential," 240 EAST 47 STREET, 24B                   ",10017,1,0,1,0,1182,1982,2,Residential,850000,2009-10-26,13,CONDOS ,26,10,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1153,Residential," 240 EAST 47 STREET, 25E/F                 ",10017,1,0,1,0,1127,1982,2,Residential,0,2009-12-15,13,CONDOS ,15,12,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1179,Residential," 240 EAST 47 STREET, 30A                   ",10017,1,0,1,0,759,1982,2,Residential,0,2009-08-03,13,CONDOS ,3,8,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1212,Residential," 240 EAST 47 STREET, 35D                   ",10017,1,0,1,0,1388,1982,2,Residential,1508000,2009-11-16,13,CONDOS ,16,11,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1230,Residential," 240 EAST 47 STREET, 38D/E                 ",10017,1,0,1,0,1388,1982,2,Residential,0,2009-05-21,13,CONDOS ,21,5,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1245,Residential," 240 EAST 47 STREET, 41A                   ",10017,1,0,1,0,759,1982,2,Residential,2250000,2009-08-10,13,CONDOS ,10,8,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1250,Residential," 240 EAST 47 STREET, 41F                   ",10017,1,0,1,0,977,1982,2,Residential,0,2009-08-10,13,CONDOS ,10,8,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1308,Residential," 216 EAST 47 STREET, 5B                    ",10017,1,0,1,4519,912,1985,2,Residential,600000,2009-12-22,13,CONDOS ,22,12,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1330,Residential," 216 EAST 47 STREET, 19A                   ",10017,1,0,1,4519,801,1985,2,Residential,0,2009-09-25,13,CONDOS ,25,9,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1331,Residential," 216 EAST 47 STREET, 19B                   ",10017,1,0,1,4519,625,1985,2,Residential,300000,2009-09-25,13,CONDOS ,25,9,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1409,Residential," 210 EAST 47 STREET, 2D                    ",10017,1,0,1,0,690,1957,2,Residential,614000,2009-03-13,13,CONDOS ,13,3,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1428,Residential," 210 EAST 47 STREET, 4F                    ",10017,1,0,1,0,387,1957,2,Residential,0,2009-03-09,13,CONDOS ,9,3,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1448,Residential," 210 EAST 47 STREET, 7D                    ",10017,1,0,1,0,690,1957,2,Residential,580000,2009-07-01,13,CONDOS ,1,7,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1615,Residential," 225 EAST 46 STREET, 2F                    ",10017,1,0,1,0,425,1956,2,Residential,0,2009-11-13,13,CONDOS ,13,11,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1619,Residential," 225 EAST 46 STREET, 2K                    ",10017,1,0,1,0,403,1956,2,Residential,395000,2009-04-24,13,CONDOS ,24,4,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1632,Residential," 225 EAST 46 STREET, 4A                    ",10017,1,0,1,0,400,1956,2,Residential,350000,2009-05-21,13,CONDOS ,21,5,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,1680,Residential," 225 EAST 46 STREET, 8E                    ",10017,1,0,1,0,441,1956,2,Residential,397500,2009-09-30,13,CONDOS ,30,9,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,2019,Residential," 232 EAST 47 STREET, 11B                   ",10017,1,0,1,6926,643,1988,2,Residential,625000,2009-05-15,13,CONDOS ,15,5,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,2021,Residential," 232 EAST 47 STREET, 11E                   ",10017,1,0,1,6926,585,1988,2,Residential,540000,2009-09-16,13,CONDOS ,16,9,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,2025,Residential," 232 EAST 47 STREET, 12C                   ",10017,1,0,1,6926,912,1988,2,Residential,805000,2009-08-26,13,CONDOS ,26,8,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,2039,Residential," 232 EAST 47 STREET, 16B                   ",10017,1,0,1,6926,630,1988,2,Residential,625000,2009-12-15,13,CONDOS ,15,12,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,2065,Residential," 232 EAST 47 STREET, 20E                   ",10017,1,0,1,6926,1040,1988,2,Residential,0,2009-03-16,13,CONDOS ,16,3,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,2081,Residential," 232 EAST 47 STREET, 23C                   ",10017,1,0,1,6926,586,1988,2,Residential,520000,2009-04-23,13,CONDOS ,23,4,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,2093,Residential," 236 EAST 47 STREET, 25C                   ",10017,1,0,1,6926,586,1988,2,Residential,0,2009-12-10,13,CONDOS ,10,12,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,2106,Residential," 232 EAST 47 STREET, 27D                   ",10017,1,0,1,6926,373,1988,2,Residential,240000,2009-06-29,13,CONDOS ,29,6,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,2107,Residential," 232 EAST 47 STREET, 27E                   ",10017,1,0,1,6926,1040,1988,2,Residential,825000,2009-06-29,13,CONDOS ,29,6,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,2114,Residential," 232 EAST 47 STREET, 28F                   ",10017,1,0,1,6926,1123,1988,2,Residential,999999,2009-11-05,13,CONDOS ,5,11,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,2114,Residential," 232 EAST 47 STREET, 28F                   ",10017,1,0,1,6926,1123,1988,2,Residential,999999,2009-11-05,13,CONDOS ,5,11,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,2128,Residential," 232 EAST 47 STREET, 31B                   ",10017,1,0,1,6926,630,1988,2,Residential,602500,2009-03-03,13,CONDOS ,3,3,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,2146,Residential," 232 EAST 47 STREET, 34B                   ",10017,1,0,1,6926,630,1988,2,Residential,625000,2009-07-02,13,CONDOS ,2,7,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,2160,Residential," 232 EAST 47 STREET, 37C                   ",10017,1,0,1,6926,948,1988,2,Residential,870000,2009-07-10,13,CONDOS ,10,7,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4008,Residential," 211 EAST 46 STREET, 6D                    ",10017,1,0,1,17812,606,1979,2,Residential,600000,2009-06-30,13,CONDOS ,30,6,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4008,Residential," 211 EAST 46 STREET, 6D                    ",10017,1,0,1,17812,606,1979,2,Residential,430519,2009-01-27,13,CONDOS ,27,1,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4039,Residential," 211 EAST 46 STREET, 9H                    ",10017,1,0,1,17812,642,1979,2,Residential,665000,2009-11-05,13,CONDOS ,5,11,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4047,Residential," 211 EAST 46 STREET, 10G                   ",10017,1,0,1,17812,911,1979,2,Residential,885000,2009-10-26,13,CONDOS ,26,10,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4071,Residential," 211 EAST 46 STREET, 14D                   ",10017,1,0,1,17812,606,1979,2,Residential,600000,2009-09-25,13,CONDOS ,25,9,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4100,Residential," 211 EAST 46 STREET, 17F                   ",10017,1,0,1,17812,1006,1979,2,Residential,997885,2009-01-29,13,CONDOS ,29,1,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4115,Residential," 211 EAST 46 STREET, 19C                   ",10017,1,0,1,17812,621,1979,2,Residential,489048,2009-11-24,13,CONDOS ,24,11,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4116,Residential," 211 EAST 46 STREET, 19D                   ",10017,1,0,1,17812,606,1979,2,Residential,469847,2009-09-24,13,CONDOS ,24,9,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4118,Residential," 211 EAST 46 STREET, 19F                   ",10017,1,0,1,17812,1160,1979,2,Residential,1100000,2009-07-01,13,CONDOS ,1,7,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4119,Residential," 211 EAST 46 STREET, 19G                   ",10017,1,0,1,17812,911,1979,2,Residential,982611,2009-05-26,13,CONDOS ,26,5,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4123,Residential," 211 EAST 46 STREET, 20B                   ",10017,1,0,1,17812,710,1979,2,Residential,740000,2009-11-13,13,CONDOS ,13,11,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4127,Residential," 211 EAST 46 STREET, 20F                   ",10017,1,0,1,17812,1160,1979,2,Residential,1069162,2009-07-27,13,CONDOS ,27,7,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4129,Residential," 211 EAST 46 STREET, 20H                   ",10017,1,0,1,17812,642,1979,2,Residential,620000,2009-06-03,13,CONDOS ,3,6,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4135,Residential," 211 EAST 46 STREET, 21E                   ",10017,1,0,1,17812,683,1979,2,Residential,661862,2009-07-14,13,CONDOS ,14,7,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4136,Residential," 211 EAST 46 STREET, 21F                   ",10017,1,0,1,17812,1160,1979,2,Residential,1038615,2009-09-10,13,CONDOS ,10,9,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4141,Residential," 211 EAST 46 STREET, 22B                   ",10017,1,0,1,17812,710,1979,2,Residential,630000,2009-08-03,13,CONDOS ,3,8,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4145,Residential," 211 EAST 46 STREET, 22F                   ",10017,1,0,1,17812,1160,1979,2,Residential,1094618,2009-09-03,13,CONDOS ,3,9,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4148,Residential," 211 EAST 46 STREET, 22J                   ",10017,1,0,1,17812,651,1979,2,Residential,585493,2009-05-22,13,CONDOS ,22,5,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4153,Residential," 211 EAST 46 STREET, 23E                   ",10017,1,0,1,17812,683,1979,2,Residential,639000,2009-07-08,13,CONDOS ,8,7,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4157,Residential," 211 EAST 46 STREET, 23J                   ",10017,1,0,1,17812,651,1979,2,Residential,631315,2009-04-30,13,CONDOS ,30,4,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4162,Residential," 211 EAST 46 STREET, 24E                   ",10017,1,0,1,17812,683,1979,2,Residential,641497,2009-09-15,13,CONDOS ,15,9,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4163,Residential," 211 EAST 46 STREET, 24F                   ",10017,1,0,1,17812,1160,1979,2,Residential,1069162,2009-08-18,13,CONDOS ,18,8,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4164,Residential," 211 EAST 46 STREET, 24G                   ",10017,1,0,1,17812,911,1979,2,Residential,965000,2009-02-27,13,CONDOS ,27,2,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4172,Residential," 211 EAST 46 STREET, 25F                   ",10017,1,0,1,17812,1160,1979,2,Residential,1249597,2009-01-22,13,CONDOS ,22,1,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4174,Residential," 212 EAST 47 STREET, 25H                   ",10017,1,0,1,17812,642,1979,2,Residential,660000,2009-07-23,13,CONDOS ,23,7,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4180,Residential," 211 EAST 46 STREET, 26E                   ",10017,1,0,1,17812,683,1979,2,Residential,625205,2009-08-19,13,CONDOS ,19,8,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4181,Residential," 211 EAST 46 STREET, 26F                   ",10017,1,0,1,17812,1160,1979,2,Residential,1150622,2009-09-18,13,CONDOS ,18,9,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4182,Residential," 211 EAST 46 STREET, 26G                   ",10017,1,0,1,17812,911,1979,2,Residential,928000,2009-07-13,13,CONDOS ,13,7,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4189,Residential," 211 EAST 46 STREET, 27E                   ",10017,1,0,1,17812,683,1979,2,Residential,651680,2009-08-18,13,CONDOS ,18,8,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4190,Residential," 211 EAST 46 STREET, 27F                   ",10017,1,0,1,17812,1160,1979,2,Residential,1100000,2009-08-04,13,CONDOS ,4,8,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4195,Residential," 211 EAST 46 STREET, 28B                   ",10017,1,0,1,17812,710,1979,2,Residential,659168,2009-05-12,13,CONDOS ,12,5,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4196,Residential," 211 EAST 46 STREET, 28C                   ",10017,1,0,1,17812,621,1979,2,Residential,650000,2009-03-31,13,CONDOS ,31,3,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4198,Residential," 211 EAST 46 STREET, 28E                   ",10017,1,0,1,17812,683,1979,2,Residential,647664,2009-11-04,13,CONDOS ,4,11,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4199,Residential," 211 EAST 46 STREET, 28F                   ",10017,1,0,1,17812,1160,1979,2,Residential,1140440,2009-07-23,13,CONDOS ,23,7,2009
MIDTOWN EAST,13  CONDOS - ELEVATOR APARTMENTS,2,1320,4200,Residential," 211 EAST 46 STREET, 28G                   ",10017,1,0,1,17812,911,1979,2,Residential,980000,2009-05-01,13,CONDOS ,1,5,2009
